gid,objeto,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
"12",Gobierno local,Comuna Hardy,Comuna,Hardy,"822808",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"13",Gobierno local,Comuna Los Tábanos,Comuna,Los Tábanos,"824188",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"14",Gobierno local,Comuna Colonia Teresa,Comuna,Colonia Teresa,"823704",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2020",Gobierno local,Comuna Naré,Comuna,Naré,"823925",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1734",Gobierno local,Municipio Las Rosas,Municipio,Las Rosas,"820021",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1735",Gobierno local,Comuna Montes de Oca,Comuna,Montes de Oca,"822014",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1736",Gobierno local,Municipio Armstrong,Municipio,Armstrong,"820007",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1737",Gobierno local,Municipio Las Parejas,Municipio,Las Parejas,"820014",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1738",Gobierno local,Comuna Tortugas,Comuna,Tortugas,"822021",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1739",Gobierno local,Comuna Bouquet,Comuna,Bouquet,"822007",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1740",Gobierno local,Comuna Arequito,Comuna,Arequito,"822028",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1741",Gobierno local,Comuna Berabevú,Comuna,Berabevú,"822042",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1742",Gobierno local,Municipio Casilda,Municipio,Casilda,"820028",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1743",Gobierno local,Comuna Los Molinos,Comuna,Los Molinos,"822077",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1744",Gobierno local,Comuna San José de la Esquina,Comuna,San José de la Esquina,"822091",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1745",Gobierno local,Comuna Los Quirquinchos,Comuna,Los Quirquinchos,"822084",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1746",Gobierno local,Comuna Sanford,Comuna,Sanford,"822098",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1747",Gobierno local,Comuna Arteaga,Comuna,Arteaga,"822035",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1748",Gobierno local,Comuna Villada,Comuna,Villada,"822105",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1749",Gobierno local,Comuna Gödeken,Comuna,Gödeken,"822070",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1750",Gobierno local,Comuna Bigand,Comuna,Bigand,"822049",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1751",Gobierno local,Comuna Chañar Ladeado,Comuna,Chañar Ladeado,"822063",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1752",Gobierno local,Comuna Chabas,Comuna,Chabas,"822056",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1753",Gobierno local,Comuna Colonia Raquel,Comuna,Colonia Raquel,"822196",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1754",Gobierno local,Comuna Villa San José,Comuna,Villa San José,"822392",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1755",Gobierno local,Comuna Zenón Pereyra,Comuna,Zenón Pereyra,"822406",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1756",Gobierno local,Comuna Saguier,Comuna,Saguier,"822336",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1757",Gobierno local,Comuna Eustolia,Comuna,Eustolia,"822238",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1758",Gobierno local,Comuna Garibaldi,Comuna,Garibaldi,"822259",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1759",Gobierno local,Comuna Ataliva,Comuna,Ataliva,"822119",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1760",Gobierno local,Comuna Bella Italia,Comuna,Bella Italia,"822140",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1761",Gobierno local,Comuna Vila,Comuna,Vila,"822385",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1762",Gobierno local,Comuna Esmeralda,Comuna,Esmeralda,"822217",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1763",Gobierno local,Comuna Tacural,Comuna,Tacural,"822371",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1764",Gobierno local,Comuna Josefina,Comuna,Josefina,"822280",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1765",Gobierno local,Comuna María Juana,Comuna,María Juana,"822294",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1766",Gobierno local,Comuna Plaza Clucellas,Comuna,Plaza Clucellas,"822308",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1767",Gobierno local,Comuna San Antonio,Comuna,San Antonio,"822343",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1768",Gobierno local,Comuna Susana,Comuna,Susana,"822364",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1769",Gobierno local,Municipio Frontera,Municipio,Frontera,"820035",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1770",Gobierno local,Comuna Virginia,Comuna,Virginia,"822399",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1771",Gobierno local,Comuna Lehmann,Comuna,Lehmann,"822287",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1772",Gobierno local,Municipio Rafaela,Municipio,Rafaela,"820042",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1773",Gobierno local,Comuna Ramona,Comuna,Ramona,"822329",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1774",Gobierno local,Comuna San Vicente,Comuna,San Vicente,"822350",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1775",Gobierno local,Comuna Pueblo Marini,Comuna,Pueblo Marini,"822322",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1776",Gobierno local,Comuna Presidente Roca,Comuna,Presidente Roca,"822315",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1777",Gobierno local,Comuna Humberto Primo,Comuna,Humberto Primo,"822273",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1778",Gobierno local,Comuna Castellanos,Comuna,Castellanos,"822168",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1779",Gobierno local,Comuna Eusebia y Carolina,Comuna,Eusebia y Carolina,"822231",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1780",Gobierno local,Comuna Egusquiza,Comuna,Egusquiza,"822210",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1781",Gobierno local,Comuna Colonia Bicha,Comuna,Colonia Bicha,"822154",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1782",Gobierno local,Comuna Estación Clucellas,Comuna,Estación Clucellas,"822224",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1783",Gobierno local,Comuna Colonia Cello,Comuna,Colonia Cello,"822175",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1784",Gobierno local,Comuna Coronel Fraga,Comuna,Coronel Fraga,"822203",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1785",Gobierno local,Comuna Colonia Margarita,Comuna,Colonia Margarita,"822189",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1786",Gobierno local,Comuna Bauer y Sigel,Comuna,Bauer y Sigel,"822133",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1787",Gobierno local,Comuna Colonia Aldao,Comuna,Colonia Aldao,"822147",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1788",Gobierno local,Comuna Angélica,Comuna,Angélica,"822112",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1789",Gobierno local,Comuna Aurelia,Comuna,Aurelia,"822126",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1790",Gobierno local,Municipio Sunchales,Municipio,Sunchales,"820049",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1791",Gobierno local,Comuna Santa Clara de Saguier,Comuna,Santa Clara de Saguier,"822357",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1792",Gobierno local,Comuna Pavón,Comuna,Pavón,"822490",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1793",Gobierno local,Comuna Máximo Paz,Comuna,Máximo Paz,"822483",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1794",Gobierno local,Comuna Juan B. Molina,Comuna,Juan B. Molina,"822462",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1795",Gobierno local,Comuna La Vanguardia,Comuna,La Vanguardia,"822476",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1796",Gobierno local,Comuna Alcorta,Comuna,Alcorta,"822413",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1797",Gobierno local,Comuna Cañada Rica,Comuna,Cañada Rica,"822427",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1798",Gobierno local,Comuna General Gelly,Comuna,General Gelly,"822448",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1799",Gobierno local,Comuna Peyrano,Comuna,Peyrano,"822504",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1800",Gobierno local,Comuna Empalme Villa Constitución,Comuna,Empalme Villa Constitución,"822441",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1801",Gobierno local,Comuna Bombal,Comuna,Bombal,"822420",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1802",Gobierno local,Comuna Godoy,Comuna,Godoy,"822455",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1803",Gobierno local,Municipio Firmat,Municipio,Firmat,"820063",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1804",Gobierno local,Comuna Cepeda,Comuna,Cepeda,"822434",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1805",Gobierno local,Comuna Juncal,Comuna,Juncal,"822469",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1806",Gobierno local,Municipio Villa Constitución,Municipio,Villa Constitución,"820056",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1807",Gobierno local,Comuna Theobald,Comuna,Theobald,"822532",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1808",Gobierno local,Comuna Sargento Cabral,Comuna,Sargento Cabral,"822525",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1809",Gobierno local,Comuna Santa Teresa,Comuna,Santa Teresa,"822518",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1810",Gobierno local,Comuna Rueda,Comuna,Rueda,"822511",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1811",Gobierno local,Comuna Pavón Arriba,Comuna,Pavón Arriba,"822497",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1812",Gobierno local,Comuna Helvecia,Comuna,Helvecia,"822553",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1813",Gobierno local,Comuna Santa Rosa de Calchines,Comuna,Santa Rosa de Calchines,"822567",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1814",Gobierno local,Comuna Cayastá,Comuna,Cayastá,"822539",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1815",Gobierno local,Comuna Saladero Mariano Cabal,Comuna,Saladero Mariano Cabal,"822560",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1816",Gobierno local,Comuna Murphy,Comuna,Murphy,"822707",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1817",Gobierno local,Comuna Maggiolo,Comuna,Maggiolo,"822679",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1818",Gobierno local,Comuna Miguel Torres,Comuna,Miguel Torres,"822700",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1819",Gobierno local,Comuna San Francisco de Santa Fe,Comuna,San Francisco de Santa Fe,"822721",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1820",Gobierno local,Comuna Cañada del Ucle,Comuna,Cañada del Ucle,"822595",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1821",Gobierno local,Comuna Amenábar,Comuna,Amenábar,"822581",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1822",Gobierno local,Comuna Chovet,Comuna,Chovet,"822623",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1823",Gobierno local,Comuna Lazzarino,Comuna,Lazzarino,"822672",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1824",Gobierno local,Comuna Aarón Castellanos,Comuna,Aarón Castellanos,"822574",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1825",Gobierno local,Comuna Carreras,Comuna,Carreras,"822609",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1826",Gobierno local,Comuna Cafferata,Comuna,Cafferata,"822588",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1827",Gobierno local,Comuna Chapuy,Comuna,Chapuy,"822616",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1828",Gobierno local,Comuna La Chispa,Comuna,La Chispa,"822658",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1829",Gobierno local,Municipio Venado Tuerto,Municipio,Venado Tuerto,"820077",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1830",Gobierno local,Comuna Elortondo,Comuna,Elortondo,"822644",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1831",Gobierno local,Comuna Diego de Alvear,Comuna,Diego de Alvear,"822637",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1832",Gobierno local,Comuna Hughes,Comuna,Hughes,"822651",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1833",Gobierno local,Comuna Labordeboy,Comuna,Labordeboy,"822665",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1834",Gobierno local,Comuna Carmen,Comuna,Carmen,"822602",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1835",Gobierno local,Municipio Rufino,Municipio,Rufino,"820070",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1836",Gobierno local,Comuna Melincué,Comuna,Melincué,"822693",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1837",Gobierno local,Comuna María Teresa,Comuna,María Teresa,"822686",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1838",Gobierno local,Comuna Christophersen,Comuna,Christophersen,"822630",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1839",Gobierno local,Comuna Teodelina,Comuna,Teodelina,"822749",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1840",Gobierno local,Municipio Villa Cañás,Municipio,Villa Cañás,"820084",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1841",Gobierno local,Comuna Santa Isabel,Comuna,Santa Isabel,"822742",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1842",Gobierno local,Comuna Sancti Spiritu,Comuna,Sancti Spiritu,"822735",Comuna,CO,Santa Fe,"82",BAHRA,IGN
