PROVINCIA;PARTIDO;HAB_2001;HAB_2010;VAR_2001-2010;VAR_PORCENTUAL
Santa Cruz;Lago Argentino;7500;18864;11364;152
Santa Cruz;Río Chico;2926;5158;2232;76
Neuquen;Pehuenches;13765;24087;10322;75
Santa Cruz;Deseado;72953;107630;34677;48
Rio Negro;Valcheta;4946;7101;2155;44
Neuquen;Añelo;7554;10786;3232;43
San Luis;Junín;20271;28933;8662;43
Provincia de Buenos Aires.;La Matanza;1255288;1775816;520528;42
Chubut;Biedma;58677;82883;24206;41
Santa Cruz;Magallanes;6536;9202;2666;41
Santa Cruz;Lago Buenos Aires;6223;8750;2527;41
Santa Cruz;Corpen Aike;7942;11093;3151;40
Neuquen;Los Lagos;8654;11998;3344;39
Provincia de Buenos Aires.;Ezeiza;118807;163722;44915;38
Salta;Cerrillos;26320;35789;9469;36
Salta;La Caldera;5711;7763;2052;36
San Juan;Iglesia;6737;9099;2362;35
Provincia de Buenos Aires.;Presidente Perón;60191;81141;20950;35
La Pampa;Toay;9256;12409;3153;34
Provincia de Buenos Aires.;San Vicente;44529;59478;14949;34
Neuquen;Aluminé;6308;8306;1998;32
Cordoba;Colón;171067;225151;54084;32
Misiones;San Pedro;23736;31051;7315;31
Provincia de Buenos Aires.;Villa Gesell;24282;31730;7448;31
Chubut;Sarmiento;8724;11396;2672;31
Chubut;Escalante;143689;186583;42894;30
San Juan;Pocito;40969;53162;12193;30
Provincia de Buenos Aires.;Pilar;232463;299077;66614;29
Provincia de Buenos Aires.;General Rodríguez;67931;87185;19254;28
Misiones;General Manuel Belgrano;33488;42902;9414;28
Tierra del Fuego;Río Grande;55131;70042;14911;27
Tierra del Fuego;Antártida Argentina e Islas del Atlántico Sur;163;207;44;27
Salta;Cafayate;11785;14850;3065;26
Formosa;Ramón Lista;10928;13754;2826;26
Provincia de Buenos Aires.;Tigre;301223;376381;75158;25
Provincia de Buenos Aires.;Marcos Paz;43400;54181;10781;25
Provincia de Buenos Aires.;Pinamar;20666;25728;5062;25
Tierra del Fuego;Ushuaia;45785;56956;11171;24
Rio Negro;El Cuy;4252;5280;1028;24
La Rioja;Capital;146411;180995;34584;24
Misiones;Iguazú;66539;82227;15688;24
Provincia de Buenos Aires.;Esteban Echeverría;243974;300959;56985;23
Provincia de Buenos Aires.;Exaltación de la Cruz;24167;29805;5638;23
Rio Negro;San Antonio;23972;29284;5312;22
Provincia de Buenos Aires.;Florencio Varela;348970;426005;77035;22
Chubut;Cushamen;17134;20919;3785;22
La Pampa;Puelén;7757;9468;1711;22
Santa Cruz;Güer Aike;92878;113267;20389;22
Provincia de Buenos Aires.;Cañuelas;42575;51892;9317;22
Rio Negro;Bariloche;109826;133500;23674;22
San Juan;9 de Julio;7652;9307;1655;22
Rio Negro;Pilcaniyeu;6114;7428;1314;22
Misiones;Candelaria;22290;27040;4750;21
San Luis;La Capital (1);168771;204019;35248;21
Jujuy;San Antonio;3698;4466;768;21
Provincia de Buenos Aires.;General Lavalle;3063;3700;637;21
Neuquen;Lácar;24670;29748;5078;21
Cordoba;Calamuchita;45418;54730;9312;21
San Juan;Zonda;4038;4863;825;20
Provincia de Buenos Aires.;Monte;17488;21034;3546;20
Mendoza;Malargüe;23020;27660;4640;20
Provincia de Buenos Aires.;Escobar;178155;213619;35464;20
Rio Negro;25 de Mayo;13153;15743;2590;20
Tucuman;Lules;57235;68474;11239;20
Provincia de Buenos Aires.;Moreno;380503;452505;72002;19
Provincia de Buenos Aires.;Mar Chiquita;17908;21279;3371;19
Jujuy;Tilcara;10403;12349;1946;19
La Pampa;Chalileo;2517;2985;468;19
Formosa;Matacos;12133;14375;2242;19
San Juan;Chimbas;73829;87258;13429;18
Entre Rios;Colón;52718;62160;9442;18
Tucuman;Yerba Buena;63707;75076;11369;18
Misiones;Guaraní;57818;67897;10079;17
Mendoza;Tunuyán;42125;49458;7333;17
La Pampa;Curacó;886;1040;154;17
Chaco;Almirante Brown;29086;34075;4989;17
Provincia de Buenos Aires.;Brandsen;22515;26367;3852;17
La Rioja;Chilecito;42248;49432;7184;17
Provincia de Buenos Aires.;Villarino;26517;31014;4497;17
San Juan;Albardón;20413;23888;3475;17
Provincia de Buenos Aires.;Tres Lomas;7439;8700;1261;17
Santiago del Estero;Copo;26984;31404;4420;16
Provincia de Buenos Aires.;Magdalena;16603;19301;2698;16
Provincia de Buenos Aires.;General Las Heras;12799;14889;2090;16
Catamarca;Santa Rosa;10349;12034;1685;16
Santiago del Estero;Belgrano;7950;9243;1293;16
Provincia de Buenos Aires.;Monte Hermoso;5602;6499;897;16
San Juan;Sarmiento;19092;22131;3039;16
Neuquen;Huiliches;12700;14725;2025;16
Chubut;Gaiman;9612;11141;1529;16
Provincia de Buenos Aires.;José C. Paz;230208;265981;35773;16
Misiones;Eldorado;67726;78221;10495;16
Neuquen;Confluencia;314793;362673;47880;15
Salta;Anta;49841;57411;7570;15
Provincia de Buenos Aires.;La Costa;60483;69633;9150;15
Provincia de Buenos Aires.;General Alvarado;34391;39594;5203;15
Mendoza;San Carlos;28341;32631;4290;15
Cordoba;Punilla;155124;178401;23277;15
Catamarca;Valle Viejo;23707;27242;3535;15
Santiago del Estero;Loreto;17442;20036;2594;15
Mendoza;Luján de Cuyo;104470;119888;15418;15
Provincia de Buenos Aires.;Roque Pérez;10902;12513;1611;15
Chubut;Futaleufú;37540;43076;5536;15
Salta;Rosario de Lerma;33741;38702;4961;15
Corrientes;Concepción;18411;21113;2702;15
Provincia de Buenos Aires.;Tandil;108109;123871;15762;15
Jujuy;El Carmen;84667;97039;12372;15
Jujuy;Yavi;18160;20806;2646;15
Santiago del Estero;Moreno;28053;32130;4077;15
Chaco;General Belgrano;10470;11988;1518;15
Mendoza;Lavalle;32129;36738;4609;14
Misiones;Capital;284279;324756;40477;14
Entre Rios;Federación;60204;68736;8532;14
Cordoba;San Alberto;32395;37004;4609;14
Cordoba;Santa María;86083;98188;12105;14
San Juan;Caucete;33609;38343;4734;14
Mendoza;Tupungato;28539;32524;3985;14
Provincia de Buenos Aires.;La Plata;574369;654324;79955;14
Rio Negro;General Roca;281653;320921;39268;14
Rio Negro;Adolfo Alsina;50701;57678;6977;14
Catamarca;Capayán;14137;16085;1948;14
San Luis;General Pedernera;110814;125899;15085;14
Salta;Chicoana;18248;20710;2462;14
Salta;Capital;472971;536113;63142;13
Chubut;Rawson;115829;131313;15484;13
Corrientes;Santo Tomé;54050;61297;7247;13
Provincia de Buenos Aires.;Ramallo;29179;33042;3863;13
Provincia de Buenos Aires.;Suipacha;8904;10081;1177;13
Catamarca;Capital;141260;159703;18443;13
