PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Santa Cruz,Lago Argentino,7.500,18.864,11.364,"151,5"
Santa Cruz,Río Chico,2.926,5.158,2.232,"76,3"
Neuquen,Pehuenches,13.765,24.087,10.322,"75,0"
Santa Cruz,Deseado,72.953,107.630,34.677,"47,5"
Rio Negro,Valcheta,4.946,7.101,2.155,"43,6"
Neuquen,Añelo,7.554,10.786,3.232,"42,8"
San Luis,Junín,20.271,28.933,8.662,"42,7"
Provincia de Buenos Aires.,La Matanza,1.255.288,1.775.816,520.528,"41,5"
Chubut,Biedma,58.677,82.883,24.206,"41,3"
Santa Cruz,Magallanes,6.536,9.202,2.666,"40,8"
Santa Cruz,Lago Buenos Aires,6.223,8.750,2.527,"40,6"
Santa Cruz,Corpen Aike,7.942,11.093,3.151,"39,7"
Neuquen,Los Lagos,8.654,11.998,3.344,"38,6"
Provincia de Buenos Aires.,Ezeiza,118.807,163.722,44.915,"37,8"
Salta,Cerrillos,26.320,35.789,9.469,"36,0"
Salta,La Caldera,5.711,7.763,2.052,"35,9"
San Juan,Iglesia,6.737,9.099,2.362,"35,1"
Provincia de Buenos Aires.,Presidente Perón,60.191,81.141,20.950,"34,8"
La Pampa,Toay,9.256,12.409,3.153,"34,1"
Provincia de Buenos Aires.,San Vicente,44.529,59.478,14.949,"33,6"
Neuquen,Aluminé,6.308,8.306,1.998,"31,7"
Cordoba,Colón,171.067,225.151,54.084,"31,6"
Misiones,San Pedro,23.736,31.051,7.315,"30,8"
Provincia de Buenos Aires.,Villa Gesell,24.282,31.730,7.448,"30,7"
Chubut,Sarmiento,8.724,11.396,2.672,"30,6"
Chubut,Escalante,143.689,186.583,42.894,"29,9"
San Juan,Pocito,40.969,53.162,12.193,"29,8"
Provincia de Buenos Aires.,Pilar,232.463,299.077,66.614,"28,7"
Provincia de Buenos Aires.,General Rodríguez,67.931,87.185,19.254,"28,3"
Misiones,General Manuel Belgrano,33.488,42.902,9.414,"28,1"
Tierra del Fuego,Río Grande,55.131,70.042,14.911,"27,0"
Tierra del Fuego,Antártida Argentina e Islas del Atlántico Sur,163,207,44,"27,0"
Salta,Cafayate,11.785,14.850,3.065,"26,0"
Formosa,Ramón Lista,10.928,13.754,2.826,"25,9"
Provincia de Buenos Aires.,Tigre,301.223,376.381,75.158,"25,0"
Provincia de Buenos Aires.,Marcos Paz,43.400,54.181,10.781,"24,8"
Provincia de Buenos Aires.,Pinamar,20.666,25.728,5.062,"24,5"
Tierra del Fuego,Ushuaia,45.785,56.956,11.171,"24,4"
Rio Negro,El Cuy,4.252,5.280,1.028,"24,2"
La Rioja,Capital,146.411,180.995,34.584,"23,6"
Misiones,Iguazú,66.539,82.227,15.688,"23,6"
Provincia de Buenos Aires.,Esteban Echeverría,243.974,300.959,56.985,"23,4"
Provincia de Buenos Aires.,Exaltación de la Cruz,24.167,29.805,5.638,"23,3"
Rio Negro,San Antonio,23.972,29.284,5.312,"22,2"
Provincia de Buenos Aires.,Florencio Varela,348.970,426.005,77.035,"22,1"
Chubut,Cushamen,17.134,20.919,3.785,"22,1"
La Pampa,Puelén,7.757,9.468,1.711,"22,1"
Santa Cruz,Güer Aike,92.878,113.267,20.389,"22,0"
Provincia de Buenos Aires.,Cañuelas,42.575,51.892,9.317,"21,9"
Rio Negro,Bariloche,109.826,133.500,23.674,"21,6"
San Juan,9 de Julio,7.652,9.307,1.655,"21,6"
Rio Negro,Pilcaniyeu,6.114,7.428,1.314,"21,5"
Misiones,Candelaria,22.290,27.040,4.750,"21,3"
San Luis,La Capital (1),168.771,204.019,35.248,"20,9"
Jujuy,San Antonio,3.698,4.466,768,"20,8"
Provincia de Buenos Aires.,General Lavalle,3.063,3.700,637,"20,8"
Neuquen,Lácar,24.670,29.748,5.078,"20,6"
Cordoba,Calamuchita,45.418,54.730,9.312,"20,5"
San Juan,Zonda,4.038,4.863,825,"20,4"
Provincia de Buenos Aires.,Monte,17.488,21.034,3.546,"20,3"
Mendoza,Malargüe,23.020,27.660,4.640,"20,2"
Provincia de Buenos Aires.,Escobar,178.155,213.619,35.464,"19,9"
Rio Negro,25 de Mayo,13.153,15.743,2.590,"19,7"
Tucuman,Lules,57.235,68.474,11.239,"19,6"
Provincia de Buenos Aires.,Moreno,380.503,452.505,72.002,"18,9"
Provincia de Buenos Aires.,Mar Chiquita,17.908,21.279,3.371,"18,8"
Jujuy,Tilcara,10.403,12.349,1.946,"18,7"
La Pampa,Chalileo,2.517,2.985,468,"18,6"
Formosa,Matacos,12.133,14.375,2.242,"18,5"
San Juan,Chimbas,73.829,87.258,13.429,"18,2"
Entre Rios,Colón,52.718,62.160,9.442,"17,9"
Tucuman,Yerba Buena,63.707,75.076,11.369,"17,8"
Misiones,Guaraní,57.818,67.897,10.079,"17,4"
Mendoza,Tunuyán,42.125,49.458,7.333,"17,4"
La Pampa,Curacó,886,1.040,154,"17,4"
Chaco,Almirante Brown,29.086,34.075,4.989,"17,2"
Provincia de Buenos Aires.,Brandsen,22.515,26.367,3.852,"17,1"
La Rioja,Chilecito,42.248,49.432,7.184,"17,0"
Provincia de Buenos Aires.,Villarino,26.517,31.014,4.497,"17,0"
San Juan,Albardón,20.413,23.888,3.475,"17,0"
Provincia de Buenos Aires.,Tres Lomas,7.439,8.700,1.261,"17,0"
Santiago del Estero,Copo,26.984,31.404,4.420,"16,4"
Provincia de Buenos Aires.,Magdalena,16.603,19.301,2.698,"16,3"
Provincia de Buenos Aires.,General Las Heras,12.799,14.889,2.090,"16,3"
Catamarca,Santa Rosa,10.349,12.034,1.685,"16,3"
Santiago del Estero,Belgrano,7.950,9.243,1.293,"16,3"
Provincia de Buenos Aires.,Monte Hermoso,5.602,6.499,897,"16,0"
San Juan,Sarmiento,19.092,22.131,3.039,"15,9"
Neuquen,Huiliches,12.700,14.725,2.025,"15,9"
Chubut,Gaiman,9.612,11.141,1.529,"15,9"
Provincia de Buenos Aires.,José C. Paz,230.208,265.981,35.773,"15,5"
Misiones,Eldorado,67.726,78.221,10.495,"15,5"
Neuquen,Confluencia,314.793,362.673,47.880,"15,2"
Salta,Anta,49.841,57.411,7.570,"15,2"
Provincia de Buenos Aires.,La Costa,60.483,69.633,9.150,"15,1"
Provincia de Buenos Aires.,General Alvarado,34.391,39.594,5.203,"15,1"
Mendoza,San Carlos,28.341,32.631,4.290,"15,1"
Cordoba,Punilla,155.124,178.401,23.277,"15,0"
Catamarca,Valle Viejo,23.707,27.242,3.535,"14,9"
Santiago del Estero,Loreto,17.442,20.036,2.594,"14,9"
Mendoza,Luján de Cuyo,104.470,119.888,15.418,"14,8"
Provincia de Buenos Aires.,Roque Pérez,10.902,12.513,1.611,"14,8"
Chubut,Futaleufú,37.540,43.076,5.536,"14,7"
Salta,Rosario de Lerma,33.741,38.702,4.961,"14,7"
Corrientes,Concepción,18.411,21.113,2.702,"14,7"
Provincia de Buenos Aires.,Tandil,108.109,123.871,15.762,"14,6"
Jujuy,El Carmen,84.667,97.039,12.372,"14,6"
Jujuy,Yavi,18.160,20.806,2.646,"14,6"
Santiago del Estero,Moreno,28.053,32.130,4.077,"14,5"
Chaco,General Belgrano,10.470,11.988,1.518,"14,5"
Mendoza,Lavalle,32.129,36.738,4.609,"14,3"
Misiones,Capital,284.279,324.756,40.477,"14,2"
